"","id","hand","year","month","day","hour","minute","seconds","blocking","block","trial","iti","rt","response_time","too_soon","too_late","xfix","yfix","xtarget","ytarget"
"1",1,2,2017,11,26,10,58,23.401,2,1,1,1.0326,0.47272,1.0557,0,0,1810,531,510,526
"2",1,2,2017,11,26,10,58,23.401,2,1,2,1.5612,0.61327,1.1581,0,0,1818,547,631,568
"3",1,2,2017,11,26,10,58,23.401,2,1,3,1.8819,0.49473,0.92334,0,0,1805,535,607,544
"4",1,2,2017,11,26,10,58,23.401,2,1,4,1.6692,0.4195,0.92791,0,0,1819,530,675,543
"5",1,2,2017,11,26,10,58,23.401,2,1,5,1.1904,0.62041,1.0417,0,0,1816,535,682,543
"6",1,2,2017,11,26,10,58,23.401,2,1,6,1.3689,0.51553,1.0251,0,0,1792,527,694,518
"7",1,2,2017,11,26,10,58,23.401,2,1,7,1.4607,0.38891,0.96317,0,0,1793,528,698,518
"8",1,2,2017,11,26,10,58,23.401,2,1,8,1.9816,0.54863,1.0659,0,0,1780,526,721,519
"9",1,2,2017,11,26,10,58,23.401,2,1,9,1.1564,0.55453,1.0345,0,0,1790,526,687,511
"10",1,2,2017,11,26,10,58,23.401,2,1,10,1.8555,0.53828,0.95847,0,0,1781,538,675,508
"11",1,2,2017,11,26,10,58,23.401,2,2,1,1.7788,0.4004,1.0115,0,0,1794,529,665,533
"12",1,2,2017,11,26,10,58,23.401,2,2,2,1.4235,0.55787,1.1024,0,0,1799,527,658,521
"13",1,2,2017,11,26,10,58,23.401,2,2,3,1.0908,NA,NA,1,0,1795,536,NA,NA
"14",1,2,2017,11,26,10,58,23.401,2,2,4,1.2665,0.64078,1.1493,0,0,1797,528,692,528
"15",1,2,2017,11,26,10,58,23.401,2,2,5,1.1537,0.67084,1.2669,0,0,1802,526,650,523
"16",1,2,2017,11,26,10,58,23.401,2,2,6,1.281,0.82846,1.3511,0,0,1792,533,696,513
"17",1,2,2017,11,26,10,58,23.401,2,2,7,1.4401,0.59006,1.1356,0,0,1791,520,685,530
"18",1,2,2017,11,26,10,58,23.401,2,2,8,1.5271,0.57033,1.1438,0,0,1793,520,661,521
"19",1,2,2017,11,26,10,58,23.401,2,2,9,1.4574,0.54987,1.7921,0,0,1792,544,650,522
"20",1,2,2017,11,26,10,58,23.401,2,2,10,1.8754,0.56126,NA,0,1,1792,537,NA,NA
"21",1,2,2017,11,26,10,58,23.401,2,2,11,1.5181,0.67935,1.6161,0,0,1784,537,581,507
"22",1,2,2017,11,26,10,58,23.401,2,2,12,1.9436,0.59742,1.0977,0,0,1784,537,650,523
"23",1,2,2017,11,26,10,58,23.401,2,2,13,1.6377,0.60848,1.6179,0,0,1780,544,619,541
"24",1,2,2017,11,26,10,58,23.401,2,2,14,1.9577,0.45057,NA,0,1,1780,539,NA,NA
"25",1,2,2017,11,26,10,58,23.401,2,2,15,1.2407,0.67392,1.0305,0,0,1792,527,667,533
"26",1,2,2017,11,26,10,58,23.401,2,2,16,1.6761,0.88711,1.3972,0,0,1787,526,618,531
"27",1,2,2017,11,26,10,58,23.401,2,2,17,1.2891,0.50544,0.78864,0,0,1790,533,692,551
"28",1,2,2017,11,26,10,58,23.401,2,2,18,1.6718,0.60322,1.9765,0,0,1791,521,660,541
"29",1,2,2017,11,26,10,58,23.401,2,2,19,1.6951,0.67258,1.2327,0,0,1791,525,654,520
"30",1,2,2017,11,26,10,58,23.401,2,2,20,1.068,0.64668,1.2415,0,0,1793,530,696,527
"31",1,2,2017,11,26,10,58,23.401,2,3,1,1.6476,0.71959,1.4969,0,0,1793,529,648,530
"32",1,2,2017,11,26,10,58,23.401,2,3,2,1.679,0.46422,1.2264,0,0,1790,530,642,535
"33",1,2,2017,11,26,10,58,23.401,2,3,3,1.6358,0.59884,1.4771,0,0,1784,532,654,525
"34",1,2,2017,11,26,10,58,23.401,2,3,4,1.9452,0.4636,1.5453,0,0,1784,528,650,536
"35",1,2,2017,11,26,10,58,23.401,2,3,5,1.2089,0.61538,1.3562,0,0,1792,524,650,530
"36",1,2,2017,11,26,10,58,23.401,2,3,6,1.7093,0.58402,1.8914,0,0,1803,533,644,538
"37",1,2,2017,11,26,10,58,23.401,2,3,7,1.2362,0.57356,1.316,0,0,1790,521,642,523
"38",1,2,2017,11,26,10,58,23.401,2,3,8,1.1194,0.62984,2.214,0,0,1780,527,648,533
"39",1,2,2017,11,26,10,58,23.401,2,3,9,1.6073,0.57981,2.0176,0,0,1802,520,644,534
"40",1,2,2017,11,26,10,58,23.401,2,3,10,1.4501,0.40894,1.4189,0,0,1793,527,648,533
"41",1,2,2017,11,26,10,58,23.401,2,4,1,1.3477,0.69785,2.2006,0,0,1803,530,659,528
"42",1,2,2017,11,26,10,58,23.401,2,4,2,1.15,0.50058,2.5128,0,0,1785,532,654,535
"43",1,2,2017,11,26,10,58,23.401,2,4,3,1.5861,0.44604,1.5212,0,0,1799,541,661,542
"44",1,2,2017,11,26,10,58,23.401,2,4,4,1.2621,0.51525,2.5845,0,0,1784,538,651,527
"45",1,2,2017,11,26,10,58,23.401,2,4,5,1.0445,0.48688,2.0252,0,0,1789,531,658,528
"46",1,2,2017,11,26,10,58,23.401,2,4,6,1.7549,0.37875,1.3735,0,0,1796,541,658,543
